City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
417,sharjah,25.3573,55.4033,295.14,78,0,3.09,AE,1680729871
418,itarema,-2.9248,-39.9167,298.78,83,81,2.35,BR,1680729872
419,omboue,-1.5746,9.2618,299.5,85,57,2.96,GA,1680729872
420,gusau,12.1628,6.6614,303.66,8,95,4.08,NG,1680729873
421,kidal,18.4411,1.4078,302.94,6,73,0.69,ML,1680729874
422,sitka,57.0531,-135.33,277.09,81,100,9.26,US,1680729874
423,guerrero negro,27.9769,-114.0611,294.13,23,0,6.61,MX,1680729875
424,ulladulla,-35.35,150.4667,286.35,85,66,1.4,AU,1680729875
425,champua,22.0833,85.6667,298.88,40,5,0.93,IN,1680729875
426,katsuura,35.1333,140.3,290.17,70,100,9.9,JP,1680729876
427,manokwari,-0.8667,134.0833,298.08,82,100,2.05,ID,1680729876
428,tucupita,9.0622,-62.051,304.79,45,22,4.35,VE,1680729876
429,belomorsk,64.5232,34.7668,273.68,90,100,1.12,RU,1680729876
430,mnogovershinnyy,53.9353,139.9242,266.72,84,6,1.47,RU,1680729877
431,ocampo,21.65,-101.5,300.64,9,65,6.2,MX,1680729877
432,ayr,55.4627,-4.6339,283.88,93,75,1.03,GB,1680729877
433,flin flon,54.7682,-101.865,274.06,27,40,3.09,CA,1680729878
434,lagoa,39.05,-27.9833,288.2,88,59,3.77,PT,1680729878
435,quatre cocos,-20.2078,57.7625,297.64,78,1,2.89,MU,1680729878
436,jati,24.3539,68.2671,296.15,57,1,4.0,PK,1680729879
437,les cayes,18.2,-73.75,300.73,65,39,4.28,HT,1680729879
438,erzin,36.9559,36.2,285.6,89,0,3.11,TR,1680729879
439,gat,31.61,34.7642,289.16,100,0,1.84,IL,1680729879
440,marfino,55.7028,37.3822,280.46,70,0,7.0,RU,1680729879
441,nago,26.5881,127.9761,295.39,80,94,5.72,JP,1680729880
442,karratha,-20.7377,116.8463,300.94,67,93,3.6,AU,1680729880
443,ambunti,-4.2365,142.8448,295.81,100,92,0.21,PG,1680729880
444,mandalgovi,45.7625,106.2708,264.72,42,85,9.48,MN,1680729880
445,linqu,36.5156,118.5397,279.08,68,80,2.13,CN,1680729881
446,zhangye,38.9342,100.4517,272.72,31,0,3.19,CN,1680729881
447,la gomera,14.0833,-91.05,307.25,43,20,6.42,GT,1680729881
448,beira,-19.8436,34.8389,299.2,78,20,4.63,MZ,1680729882
449,singapore,1.2897,103.8501,298.79,94,75,1.03,SG,1680729731
450,lahaina,20.8783,-156.6825,301.15,75,98,3.79,US,1680729883
451,vanimo,-2.6741,141.3028,298.07,87,100,1.64,PG,1680729883
452,mmathubudukwane,-24.6,26.4333,290.85,63,0,2.06,BW,1680729883
453,hue,16.4667,107.6,301.21,89,40,1.54,VN,1680729884
454,mabaruma,8.2,-59.7833,301.15,74,40,3.09,GY,1680729884
455,xinqing,48.2333,129.5,272.21,43,100,0.78,CN,1680729885
456,lincoln village,39.9548,-83.1307,295.06,86,100,10.8,US,1680729885
457,mamit,23.9333,92.4833,289.06,96,2,1.21,IN,1680729885
458,adilcevaz,38.8039,42.7342,280.57,74,17,3.05,TR,1680729886
459,college,64.8569,-147.8028,271.12,79,100,3.6,US,1680729886
460,palmer,42.1584,-72.3287,282.8,69,100,3.6,US,1680729886
461,bacong,9.2464,123.2956,299.14,73,75,3.09,PH,1680729887
462,avila,40.5833,-5.0,280.07,28,48,0.18,ES,1680729887
463,los llanos de aridane,28.6585,-17.9182,291.01,84,0,6.69,ES,1680729887
464,belmonte,-15.8631,-38.8828,298.85,80,80,3.55,BR,1680729887
465,saint-joseph,-21.3667,55.6167,296.36,81,39,3.28,RE,1680729888
466,takoradi,4.8845,-1.7554,300.18,83,65,3.73,GH,1680729888
467,mildura,-34.2,142.15,293.19,50,96,7.97,AU,1680729888
468,kasongo-lunda,-6.4667,16.8167,294.25,98,100,0.23,CD,1680729889
469,santa isabel do rio negro,-0.4139,-65.0192,301.32,69,100,1.34,BR,1680729889
470,yima,34.7381,111.8839,281.21,53,98,6.86,CN,1680729889
471,doha,25.2867,51.5333,295.14,65,0,1.54,QA,1680729839
472,clyde river,70.4692,-68.5914,252.28,77,0,0.0,CA,1680729890
473,mombasa,-4.0547,39.6636,301.38,78,20,2.06,KE,1680729890
474,lubao,14.9167,120.55,298.99,75,76,0.73,PH,1680729890
475,minyar,55.0709,57.5485,278.5,90,100,0.47,RU,1680729890
476,moyobamba,-6.05,-76.9667,298.09,78,97,0.4,PE,1680729891
477,koppa,13.5304,75.3633,291.63,97,80,0.97,IN,1680729891
478,sohag,26.557,31.6948,293.31,24,0,4.21,EG,1680729891
479,jasper,37.2001,-94.3502,286.45,47,0,3.58,US,1680729892
480,carnot,4.9409,15.8665,299.93,50,100,2.03,CF,1680729892
481,trinidad,-14.8333,-64.9,296.14,100,100,2.06,BO,1680729893
482,boyolangu,-8.1181,111.8935,296.84,91,87,0.87,ID,1680729893
483,luanda,-8.8368,13.2343,300.15,83,20,3.09,AO,1680729879
484,grindavik,63.8424,-22.4338,277.12,87,40,2.57,IS,1680729893
485,davenda,53.5556,119.317,266.75,94,100,3.93,RU,1680729894
486,ginda,30.6945,78.4932,282.02,41,98,3.36,IN,1680729894
487,eidsvag,62.7767,8.0668,277.51,77,28,3.63,NO,1680729742
488,banting,2.8167,101.5,298.48,96,100,1.76,MY,1680729894
489,bowen,-20.0167,148.2333,297.93,87,18,1.62,AU,1680729895
490,vigrestad,58.5667,5.7,277.92,82,20,4.45,NO,1680729895
491,alihe,50.5667,123.7167,272.76,57,100,0.94,CN,1680729895
492,kunda,25.7167,81.5167,296.93,18,0,2.88,IN,1680729895
493,megion,61.0296,76.1136,274.16,99,100,4.07,RU,1680729896
494,matara,5.9485,80.5353,298.1,86,45,0.71,LK,1680729896
495,caetite,-14.0694,-42.475,298.47,48,81,1.49,BR,1680729896
496,corvallis,44.5646,-123.262,285.41,78,100,5.66,US,1680729734
497,logansport,40.7545,-86.3567,291.49,82,100,7.2,US,1680729855
498,abonnema,4.7084,6.7931,300.25,83,53,3.35,NG,1680729897
499,daguma,6.5867,124.5472,296.52,92,87,0.66,PH,1680729897
500,mocuba,-16.8392,36.9856,293.42,95,98,1.4,MZ,1680729897
501,webuye,0.6075,34.7697,291.19,81,100,2.63,KE,1680729897
502,yarensk,62.1675,49.0916,271.94,88,100,2.7,RU,1680729898
503,newala,-10.9431,39.2787,291.89,99,50,1.46,TZ,1680729898
504,huaicheng,23.9051,112.1931,293.72,94,98,1.0,CN,1680729898
505,vila franca do campo,37.7167,-25.4333,288.38,86,88,1.69,PT,1680729688
506,fallon,39.4735,-118.7774,282.1,29,40,1.54,US,1680729867
507,te anau,-45.4167,167.7167,280.09,85,97,2.21,NZ,1680729899
508,moree,-29.4667,149.85,290.75,68,54,3.38,AU,1680729899
509,hambantota,6.1241,81.1185,298.34,94,20,1.03,LK,1680729899
510,tommot,58.9564,126.2925,253.57,98,96,2.15,RU,1680729899
511,ariquemes,-9.9133,-63.0408,298.98,94,87,0.92,BR,1680729900
512,sorland,67.667,12.6934,278.07,81,100,7.14,NO,1680729900
513,road town,18.4167,-64.6167,300.2,88,40,3.6,VG,1680729814
514,posse,-14.0931,-46.3694,297.38,60,100,1.06,BR,1680729900
515,shache,38.4167,77.2406,278.8,18,31,1.85,CN,1680729900
516,ostersund,63.1792,14.6357,274.4,51,0,7.72,SE,1680729901
517,moron,-34.6534,-58.6198,297.09,65,33,3.16,AR,1680729901
